date,stars
2026-04-18,0
2026-05-15,2
2026-05-16,6
2026-05-17,8
2026-05-18,11
2026-05-19,12
2026-05-20,15
2026-05-21,36
2026-05-22,44
2026-05-23,45
2026-05-24,46
2026-05-25,50
2026-05-26,52
2026-05-28,53
2026-05-29,55
2026-05-30,57
2026-06-01,59
2026-06-02,62
2026-06-03,65
2026-06-04,66
2026-06-05,67
2026-06-09,68
2026-06-10,71
2026-06-11,73
2026-06-13,75
2026-06-16,77
2026-06-17,78
2026-06-19,177
2026-06-20,186
2026-06-21,194
2026-06-22,200
2026-06-23,209
2026-06-24,215
2026-06-25,221
2026-06-27,222
2026-06-28,224
2026-07-01,225
2026-07-02,226
2026-07-03,229
2026-07-06,230
2026-07-07,231
2026-07-08,232
2026-07-10,233
2026-07-11,234
2026-07-13,235
2026-07-15,236
2026-07-16,239
2026-07-17,240
2026-07-18,241
2026-07-19,242
2026-07-20,243
2026-07-22,244
2026-07-23,245
2026-07-24,246
2026-07-25,247
2026-07-27,248
2026-07-29,251
2026-07-30,254
2026-08-02,255
